省,市,县,县代码,GDP_2020_SSP5,GDP_2025_SSP5,GDP_2030_SSP5,GDP_2035_SSP5,GDP_2040_SSP5,GDP_2045_SSP5,GDP_2050_SSP5
安徽省,安庆市,大观区,340803.0,3696690176.0,6929198080.0,9616250880.0,12847933440.0,15828313088.0,18476574720.0,20610011136.0
安徽省,安庆市,怀宁县,340822.0,4426906112.0,3334025216.0,4626420736.0,6180687360.0,7614139392.0,8887435264.0,9912941568.0
安徽省,安庆市,潜山市,340882.0,2613739520.0,2455050240.0,3406617856.0,4551105536.0,5606584832.0,6544090624.0,7299124736.0
安徽省,安庆市,宿松县,340826.0,3570695168.0,2003969280.0,2787609600.0,3731040512.0,4599540224.0,5365644288.0,5989439488.0
安徽省,安庆市,太湖县,340825.0,2305593088.0,1932573952.0,2681416192.0,3581305088.0,4411499008.0,5146418688.0,5738013184.0
安徽省,安庆市,桐城市,340881.0,3391027712.0,5305232896.0,7362049024.0,9835603968.0,12116327424.0,14142688256.0,15774574592.0
安徽省,安庆市,望江县,340827.0,3251723264.0,1980417280.0,2748953600.0,3673494272.0,4526156288.0,5283514880.0,5894273536.0
安徽省,安庆市,宜秀区,340811.0,8294320640.0,5329744896.0,7396043264.0,9880891392.0,12172693504.0,14208416768.0,15848000512.0
安徽省,安庆市,迎江区,340802.0,8684507136.0,6116324352.0,8487584256.0,11339236352.0,13969280000.0,16305435648.0,18186815488.0
安徽省,安庆市,岳西县,340828.0,1162607872.0,1325735040.0,1839547264.0,2457092864.0,3026197760.0,3530755584.0,3937190400.0
安徽省,蚌埠市,蚌山区,340303.0,9035249664.0,18853523456.0,26162145280.0,34951577600.0,43058192384.0,50259251200.0,56058474496.0
安徽省,蚌埠市,固镇县,340323.0,2952295680.0,2827637760.0,3925224192.0,5245940736.0,6464819200.0,7548343296.0,8422796800.0
安徽省,蚌埠市,怀远县,340321.0,2941004288.0,4388030464.0,6089106432.0,8134774784.0,10021362688.0,11697209344.0,13046365184.0
安徽省,蚌埠市,淮上区,340311.0,3408388352.0,2744895488.0,3808962560.0,5088621056.0,6268867584.0,7317273088.0,8161587200.0
安徽省,蚌埠市,龙子湖区,340302.0,6183977984.0,7722240512.0,10718780416.0,14322792448.0,17650423808.0,20604907520.0,22985302016.0
安徽省,蚌埠市,五河县,340322.0,3459422720.0,3508158208.0,4892531712.0,6570472448.0,8134310912.0,9540977664.0,10705281024.0
安徽省,蚌埠市,禹会区,340304.0,9099094016.0,10182192128.0,14131551232.0,18881536000.0,23263236096.0,27155492864.0,30291697664.0
安徽省,亳州市,利辛县,341623.0,3313942016.0,4165650176.0,5781096448.0,7724061696.0,9516172288.0,11108118528.0,12390886400.0
安徽省,亳州市,蒙城县,341622.0,5008774656.0,7312768000.0,10149195776.0,13560856576.0,16707707904.0,19503116288.0,21756207104.0
安徽省,亳州市,谯城区,341602.0,18608400384.0,20568274944.0,28619091968.0,38327566336.0,47292145664.0,55260827648.0,61767065600.0
安徽省,亳州市,涡阳县,341621.0,6471478784.0,7905608704.0,11028781056.0,14804652032.0,18294996992.0,21399556096.0,23966867456.0
安徽省,池州市,东至县,341721.0,1428249088.0,1815300992.0,2524132608.0,3378249216.0,4165644032.0,4862184448.0,5429015040.0
安徽省,池州市,贵池区,341702.0,5394160640.0,3862263808.0,5358437376.0,7157303296.0,8815911936.0,10288388096.0,11473649664.0
安徽省,池州市,青阳县,341723.0,434976064.0,1316924800.0,1826809856.0,2439913984.0,3004979712.0,3506787328.0,3910329600.0
安徽省,池州市,石台县,341722.0,265642400.0,414315264.0,574310080.0,766199232.0,943189568.0,1098722688.0,1224278528.0
安徽省,滁州市,定远县,341125.0,4587250176.0,4535916032.0,6294261248.0,8408811520.0,10359072768.0,12091217920.0,13486171136.0
安徽省,滁州市,凤阳县,341126.0,3942846720.0,3492760064.0,4846892544.0,6475476480.0,7977661952.0,9312049152.0,10386871296.0
安徽省,滁州市,来安县,341122.0,3405577728.0,3487720448.0,4881890304.0,6581359104.0,8177080320.0,9625079808.0,10845150208.0
安徽省,滁州市,琅琊区,341102.0,18802429952.0,12761916416.0,17771792384.0,23830036480.0,29459570688.0,34504871936.0,38648164352.0
安徽省,滁州市,明光市,341182.0,2693801984.0,6776118272.0,9416735744.0,12599837696.0,15545063424.0,18171047936.0,20303923200.0
安徽省,滁州市,南谯区,341103.0,4939810304.0,4095924736.0,5710515200.0,7666691072.0,9488900096.0,11126778880.0,12480229376.0
安徽省,滁州市,全椒县,341124.0,5591463936.0,4652554240.0,6464998400.0,8649375744.0,10670002176.0,12471189504.0,13933048832.0
安徽省,滁州市,天长市,341181.0,4877631488.0,5734341632.0,8084545536.0,10978753536.0,13733255168.0,16270766080.0,18476902400.0
安徽省,阜阳市,阜南县,341225.0,6097376256.0,4687068160.0,6519142400.0,8727619584.0,10766535680.0,12578785280.0,14055577600.0
安徽省,阜阳市,界首市,341282.0,5786496000.0,6647407616.0,9301368832.0,12519480320.0,15497825280.0,18149017600.0,20372443136.0
安徽省,阜阳市,临泉县,341221.0,8729617408.0,8007262208.0,11172197376.0,14999150592.0,18536908800.0,21683802112.0,24287887360.0
安徽省,阜阳市,太和县,341222.0,11378834432.0,8605237248.0,11971791872.0,16030911488.0,19778793472.0,23110172672.0,25828237312.0
安徽省,阜阳市,颍东区,341203.0,11549790208.0,6863867392.0,9524666368.0,12724574208.0,15675899904.0,18297526272.0,20408807424.0
安徽省,阜阳市,颍泉区,341204.0,8194901504.0,5354888192.0,7432104448.0,9930656768.0,12235293696.0,14282571776.0,15932891136.0
安徽省,阜阳市,颍上县,341226.0,6459526656.0,8259335168.0,11461980160.0,15313788928.0,18866532352.0,22022506496.0,24565254144.0
安徽省,阜阳市,颍州区,341202.0,20109895680.0,15435015168.0,21419513856.0,28616908800.0,35255312384.0,41152212992.0,45902397440.0
安徽省,合肥市,包河区,340111.0,74175406080.0,53837979648.0,74708459520.0,99807592448.0,122956759040.0,143520055296.0,160080543744.0
安徽省,合肥市,巢湖市,340181.0,9908787200.0,8285665792.0,11497544704.0,15360086016.0,18922430464.0,22086586368.0,24634654720.0
安徽省,合肥市,肥东县,340122.0,18541785088.0,12239471616.0,16984125440.0,22689972224.0,27952492544.0,32626835456.0,36391055360.0
安徽省,合肥市,肥西县,340123.0,14803538944.0,13481637888.0,18707853312.0,24992929792.0,30789765120.0,35939041280.0,40085901312.0
安徽省,合肥市,庐江县,340124.0,11485622272.0,6949576704.0,9643465728.0,12883017728.0,15870868480.0,18524862464.0,20662128640.0
安徽省,合肥市,庐阳区,340103.0,38448504832.0,40367120384.0,56019329024.0,74842832896.0,92204900352.0,107628150784.0,120048959488.0
安徽省,合肥市,蜀山区,340104.0,71108902912.0,58843283456.0,81654095872.0,109086580736.0,134388006912.0,156862939136.0,174962786304.0
安徽省,合肥市,瑶海区,340102.0,84042031104.0,59610124288.0,82718212096.0,110508195840.0,136139358208.0,158907154432.0,177242898432.0
安徽省,合肥市,长丰县,340121.0,8027946496.0,7179840000.0,9963103232.0,13310255104.0,16397289472.0,19139633152.0,21347903488.0
安徽省,淮北市,杜集区,340602.0,4279993344.0,3155858432.0,4395002368.0,5893890048.0,7286952448.0,8535971328.0,9562021888.0
安徽省,淮北市,烈山区,340604.0,5116809216.0,2763986944.0,3841248256.0,5139832832.0,6341382144.0,7412879872.0,8283250176.0
安徽省,淮北市,濉溪县,340621.0,7922540032.0,7609267712.0,10567943168.0,14129627136.0,17417246720.0,20339943424.0,22704283648.0
安徽省,淮北市,相山区,340603.0,17979299840.0,19312635904.0,26830954496.0,35889434624.0,44265324544.0,51728031744.0,57778577408.0
安徽省,淮南市,八公山区,340405.0,310059392.0,1612087168.0,2237018368.0,2988566016.0,3681730304.0,4297459200.0,4793329664.0
安徽省,淮南市,大通区,340402.0,2147050368.0,2118301312.0,2939439104.0,3926962688.0,4837772800.0,5646740992.0,6298178048.0
安徽省,淮南市,凤台县,340421.0,3449337088.0,3506806272.0,4866172928.0,6501075968.0,8008821248.0,9348011008.0,10426392576.0
安徽省,淮南市,潘集区,340406.0,3162920448.0,2475703552.0,3435385856.0,4589520896.0,5653964800.0,6599369728.0,7360747520.0
安徽省,淮南市,寿县,340422.0,2936134400.0,3823461632.0,5305386496.0,7087680512.0,8731229184.0,10190841856.0,11366106112.0
安徽省,淮南市,田家庵区,340403.0,13579142144.0,15343224832.0,21291208704.0,28444346368.0,35041910784.0,40902696960.0,45623218176.0
安徽省,淮南市,谢家集区,340404.0,2924706816.0,3437174016.0,4769639936.0,6371962880.0,7849784832.0,9162455040.0,10219615232.0
安徽省,黄山市,黄山区,341003.0,304923008.0,504100224.0,698769920.0,932411136.0,1147618688.0,1337719808.0,1490745472.0
安徽省,黄山市,徽州区,341004.0,156893024.0,273435296.0,386249984.0,525467040.0,659020032.0,783067584.0,891287616.0
安徽省,黄山市,祁门县,341024.0,358024960.0,519621376.0,723502976.0,969481984.0,1196606208.0,1397688576.0,1562057216.0
