省,市,县,县代码,POP_2020_SSP5,POP_2025_SSP5,POP_2030_SSP5,POP_2035_SSP5,POP_2040_SSP5,POP_2045_SSP5,POP_2050_SSP5
安徽省,安庆市,大观区,340803.0,220180.0,221695.0,221509.0,219941.0,216640.0,211386.0,204795.0
安徽省,安庆市,怀宁县,340822.0,576181.0,581812.0,581250.0,575944.0,565921.0,552222.0,535702.0
安徽省,安庆市,潜山市,340882.0,532195.0,529414.0,522558.0,513070.0,500799.0,485175.0,466369.0
安徽省,安庆市,宿松县,340826.0,635463.0,635910.0,630372.0,621042.0,608069.0,592438.0,573640.0
安徽省,安庆市,太湖县,340825.0,527547.0,522161.0,512355.0,500171.0,484949.0,468539.0,448318.0
安徽省,安庆市,桐城市,340881.0,663030.0,654647.0,643274.0,628456.0,609042.0,585783.0,558868.0
安徽省,安庆市,望江县,340827.0,550472.0,555626.0,554400.0,549458.0,540089.0,528079.0,513342.0
安徽省,安庆市,宜秀区,340811.0,294624.0,297656.0,297888.0,296067.0,290811.0,284599.0,276286.0
安徽省,安庆市,迎江区,340802.0,291240.0,293129.0,292669.0,290146.0,285798.0,280754.0,274364.0
安徽省,安庆市,岳西县,340828.0,310462.0,300289.0,290782.0,281119.0,271326.0,260446.0,248428.0
安徽省,蚌埠市,蚌山区,340303.0,118629.0,120795.0,121076.0,120553.0,118831.0,116029.0,112772.0
安徽省,蚌埠市,固镇县,340323.0,531245.0,525769.0,516627.0,504622.0,489249.0,471266.0,449861.0
安徽省,蚌埠市,怀远县,340321.0,888808.0,874342.0,856050.0,834017.0,806462.0,773173.0,734937.0
安徽省,蚌埠市,淮上区,340311.0,265092.0,264961.0,262552.0,258308.0,252072.0,244981.0,236502.0
安徽省,蚌埠市,龙子湖区,340302.0,202489.0,205278.0,205521.0,202569.0,198866.0,192763.0,185304.0
安徽省,蚌埠市,五河县,340322.0,524303.0,511421.0,496529.0,480619.0,461875.0,439171.0,413937.0
安徽省,蚌埠市,禹会区,340304.0,588791.0,595770.0,598293.0,595752.0,588390.0,575756.0,558675.0
安徽省,亳州市,利辛县,341623.0,1103425.0,1095420.0,1078530.0,1056352.0,1027624.0,991447.0,947903.0
安徽省,亳州市,蒙城县,341622.0,1009403.0,992873.0,970317.0,943735.0,910672.0,870104.0,822542.0
安徽省,亳州市,谯城区,341602.0,1386300.0,1379809.0,1363798.0,1341398.0,1308842.0,1269336.0,1221403.0
安徽省,亳州市,涡阳县,341621.0,1154534.0,1139709.0,1118529.0,1092226.0,1058381.0,1018045.0,970277.0
安徽省,池州市,东至县,341721.0,465951.0,456248.0,444403.0,429806.0,414186.0,396911.0,377423.0
安徽省,池州市,贵池区,341702.0,602717.0,600350.0,592203.0,582212.0,567895.0,550683.0,529172.0
安徽省,池州市,青阳县,341723.0,230213.0,226886.0,221644.0,215896.0,208915.0,200843.0,191514.0
安徽省,池州市,石台县,341722.0,84042.0,80027.0,75998.0,72052.0,68778.0,64833.0,61361.0
安徽省,滁州市,定远县,341125.0,739122.0,719994.0,699120.0,675926.0,649778.0,618611.0,584288.0
安徽省,滁州市,凤阳县,341126.0,596397.0,579528.0,561360.0,542485.0,520178.0,495013.0,467174.0
安徽省,滁州市,来安县,341122.0,409048.0,393760.0,377449.0,360772.0,342476.0,322650.0,301867.0
安徽省,滁州市,琅琊区,341102.0,346834.0,354530.0,355754.0,353114.0,347259.0,339282.0,327645.0
安徽省,滁州市,明光市,341182.0,511020.0,495173.0,478543.0,461104.0,441629.0,418741.0,393850.0
安徽省,滁州市,南谯区,341103.0,213724.0,206527.0,199596.0,191818.0,182842.0,173495.0,162733.0
安徽省,滁州市,全椒县,341124.0,362692.0,348831.0,334008.0,319248.0,303213.0,285229.0,266691.0
安徽省,滁州市,天长市,341181.0,590748.0,571469.0,550178.0,527941.0,503973.0,476931.0,447704.0
安徽省,阜阳市,阜南县,341225.0,1041267.0,1029868.0,1010069.0,982634.0,950079.0,912698.0,868820.0
安徽省,阜阳市,界首市,341282.0,544570.0,547177.0,544590.0,536242.0,524943.0,509392.0,491226.0
安徽省,阜阳市,临泉县,341221.0,1495546.0,1494974.0,1480505.0,1457794.0,1423723.0,1378405.0,1321532.0
安徽省,阜阳市,太和县,341222.0,1358500.0,1369380.0,1366820.0,1354552.0,1331558.0,1302754.0,1265450.0
安徽省,阜阳市,颍东区,341203.0,475388.0,478514.0,475280.0,468692.0,457887.0,444744.0,428454.0
安徽省,阜阳市,颍泉区,341204.0,624474.0,634674.0,637849.0,633460.0,623346.0,609766.0,592153.0
安徽省,阜阳市,颍上县,341226.0,1154779.0,1152574.0,1139749.0,1120114.0,1092128.0,1057886.0,1014648.0
安徽省,阜阳市,颍州区,341202.0,709843.0,715330.0,710026.0,700537.0,685774.0,666768.0,641420.0
安徽省,合肥市,包河区,340111.0,939135.0,955479.0,960422.0,961274.0,939846.0,918998.0,902171.0
安徽省,合肥市,巢湖市,340181.0,912209.0,901223.0,886880.0,867762.0,844121.0,816521.0,786193.0
安徽省,合肥市,肥东县,340122.0,884353.0,863757.0,841329.0,814993.0,784257.0,749951.0,711944.0
