省,市,县,县代码,production_2020_combined,production_2025_combined,production_2030_combined,production_2035_combined,production_2040_combined,production_2045_combined,production_2050_combined
安徽省,安庆市,大观区,340803.0,,,,,,,
安徽省,安庆市,怀宁县,340822.0,2970.0,1217.0,942.0,766.0,658.0,1485.0,
安徽省,安庆市,潜山市,340882.0,,,,,,,
安徽省,安庆市,宿松县,340826.0,,,,,,,
安徽省,安庆市,太湖县,340825.0,,,,,,,
安徽省,安庆市,桐城市,340881.0,,,,,,,
安徽省,安庆市,望江县,340827.0,,,,,,,
安徽省,安庆市,宜秀区,340811.0,3498.0,1661.9,812.0,855.0,1008.0,1485.0,1485.0
安徽省,安庆市,迎江区,340802.0,,,,,,,
安徽省,安庆市,岳西县,340828.0,,,,,,,
安徽省,蚌埠市,蚌山区,340303.0,,,,,,,
安徽省,蚌埠市,固镇县,340323.0,,,,,,,
安徽省,蚌埠市,怀远县,340321.0,,,,,,,
安徽省,蚌埠市,淮上区,340311.0,,,,,,,
安徽省,蚌埠市,龙子湖区,340302.0,,,,,,,
安徽省,蚌埠市,五河县,340322.0,,,,,,,
安徽省,蚌埠市,禹会区,340304.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0
安徽省,亳州市,利辛县,341623.0,,,,,,,
安徽省,亳州市,蒙城县,341622.0,,,,,,,
安徽省,亳州市,谯城区,341602.0,,,,,,,
安徽省,亳州市,涡阳县,341621.0,,,,,,,
安徽省,池州市,东至县,341721.0,,,,,,,
安徽省,池州市,贵池区,341702.0,12540.0,460.0,352.0,286.0,,,40.0
安徽省,池州市,青阳县,341723.0,,,,,,,
安徽省,池州市,石台县,341722.0,,,,,,,
安徽省,滁州市,定远县,341125.0,825.0,825.0,825.0,825.0,561.0,825.0,825.0
安徽省,滁州市,凤阳县,341126.0,7969.5,7969.5,7070.9,2366.0,1298.0,1650.0,1650.0
安徽省,滁州市,来安县,341122.0,,,,,,,
安徽省,滁州市,琅琊区,341102.0,,,,,,,
安徽省,滁州市,明光市,341182.0,,,,,,,
安徽省,滁州市,南谯区,341103.0,1650.0,1650.0,1650.0,1650.0,1650.0,825.0,108.0
安徽省,滁州市,全椒县,341124.0,3300.0,3300.0,3300.0,1444.0,727.0,1650.0,1650.0
安徽省,滁州市,天长市,341181.0,,,,,,,
安徽省,阜阳市,阜南县,341225.0,,,,,,,
安徽省,阜阳市,界首市,341282.0,,,,,,,
安徽省,阜阳市,临泉县,341221.0,,,,,,,
安徽省,阜阳市,太和县,341222.0,,,,,,,
安徽省,阜阳市,颍东区,341203.0,,,,,,,
安徽省,阜阳市,颍泉区,341204.0,,,,,,,
安徽省,阜阳市,颍上县,341226.0,,,,,,,
安徽省,阜阳市,颍州区,341202.0,,,,,,,
安徽省,合肥市,包河区,340111.0,,,,,,,
安徽省,合肥市,巢湖市,340181.0,13035.0,7838.0,5250.0,3471.0,2770.0,3300.0,3300.0
安徽省,合肥市,肥东县,340122.0,,,,,,,
安徽省,合肥市,肥西县,340123.0,,,,,,,
安徽省,合肥市,庐江县,340124.0,2035.1,2035.1,2035.1,2035.1,2035.1,2035.1,1210.1
安徽省,合肥市,庐阳区,340103.0,,,,,,,
安徽省,合肥市,蜀山区,340104.0,,,,,,,
安徽省,合肥市,瑶海区,340102.0,,,,,,,
安徽省,合肥市,长丰县,340121.0,,,,,,,
安徽省,淮北市,杜集区,340602.0,4125.0,4125.0,4125.0,3530.0,2486.0,3300.0,3300.0
安徽省,淮北市,烈山区,340604.0,220.1,220.1,220.1,220.1,220.1,220.1,
安徽省,淮北市,濉溪县,340621.0,,,,,,,
安徽省,淮北市,相山区,340603.0,,,,,,,
安徽省,淮南市,八公山区,340405.0,1650.0,1650.0,1650.0,1650.0,1650.0,825.0,304.0
安徽省,淮南市,大通区,340402.0,,,,,,,
安徽省,淮南市,凤台县,340421.0,,,,,,,
安徽省,淮南市,潘集区,340406.0,,,,,,,
安徽省,淮南市,寿县,340422.0,,,,,,,
安徽省,淮南市,田家庵区,340403.0,,,,,,,
安徽省,淮南市,谢家集区,340404.0,,,,,,,
安徽省,黄山市,黄山区,341003.0,,,,,,,
安徽省,黄山市,徽州区,341004.0,,,,,,,
安徽省,黄山市,祁门县,341024.0,,,,,,,
安徽省,黄山市,歙县,341021.0,,,,,,,
安徽省,黄山市,屯溪区,341002.0,,,,,,,
安徽省,黄山市,休宁县,341022.0,,,,,,,
安徽省,黄山市,黟县,341023.0,,,,,,,
安徽省,六安市,霍邱县,341522.0,471.9,471.9,471.9,471.9,471.9,471.9,1032.9
安徽省,六安市,霍山县,341525.0,,,,,,,
安徽省,六安市,金安区,341502.0,,,,,,,
安徽省,六安市,金寨县,341524.0,,,,,,,
安徽省,六安市,舒城县,341523.0,,,,,,,
安徽省,六安市,叶集区,341504.0,,,,,,,
安徽省,六安市,裕安区,341503.0,,,,,,,
安徽省,马鞍山市,博望区,340506.0,,,,,,,
安徽省,马鞍山市,当涂县,340521.0,,,,,,,
安徽省,马鞍山市,含山县,340522.0,2805.0,2805.0,1185.0,124.0,391.0,,
安徽省,马鞍山市,和县,340523.0,4455.0,4455.0,4455.0,974.0,438.0,1485.0,1485.0
安徽省,马鞍山市,花山区,340503.0,,,,,,,
安徽省,马鞍山市,雨山区,340504.0,,,,,,,
安徽省,宿州市,砀山县,341321.0,,,,,,,
安徽省,宿州市,灵璧县,341323.0,,,,,,,
