,SSP1,SSP2,SSP3,SSP4,SSP5
2020,2330.38388320433,2330.38388320433,2330.38388320433,2330.38388320433,2330.38388320433
2021,2191.0508701369545,2191.0211955591462,2192.4938291702106,2189.3760607754034,2190.301619571729
2022,2063.9945245502795,2063.9382176742292,2066.6646829003653,2060.900633239847,2062.608093648768
2023,1948.1351133941982,1948.056235325983,1951.8423053024694,1943.8411511989866,1946.211526080399
2024,1842.487864962421,1842.3912237265854,1847.0686957658443,1837.1846194000102,1840.1110602501114
2025,1746.155841409166,1746.041888057855,1751.4691758689466,1740.0078760972021,1743.399501270224
2026,1657.777085655627,1658.4859577785292,1666.5543584075508,1650.3436069518827,1653.127427224893
2027,1577.0211869782033,1578.3988026435209,1588.6853812094782,1568.4895838916946,1570.8091556552224
2028,1503.2243717720025,1505.137770650926,1517.2737088603471,1493.752679049915,1495.7374533224695
2029,1435.7776190274365,1438.111430651053,1451.7768977441488,1425.5052937314065,1427.2639227753411
2030,1374.1280968369035,1376.783463708931,1391.7009995020078,1363.171296400206,1364.802018154857
2031,1313.4902609557353,1321.3608005422082,1344.245308557307,1304.3706851986444,1295.9322527815848
2032,1258.334319283782,1270.443143793064,1300.058652787748,1250.639230375933,1234.251386114433
2033,1208.149391709948,1223.651329131841,1258.9111072008004,1201.5218178875461,1178.9896353625372
2034,1162.474604486619,1180.6380576448837,1220.5854928216243,1156.6041550520677,1129.4596154275496
2035,1120.891028983209,1141.0876561712928,1184.8834556162863,1115.508308428871,1085.0475221473978
2036,1083.0808475345732,1107.9350607296462,1160.5883260311764,1079.2445321172947,1040.0607678942326
2037,1048.5292942147455,1077.078430929982,1137.413373968737,1045.75341342971,1000.2069144409994
2038,1016.9393855741091,1048.345069087416,1115.3036635260803,1014.8037859680827,964.8708103064382
2039,988.0412364264946,1021.5773814435001,1094.2046201190751,986.1809238594612,933.5084469961903
2040,961.5875084143091,996.628773263095,1074.067492140188,959.6909277233256,905.6437535431415
2041,934.571021260557,971.3734732141561,1055.9545164703006,932.7362250180115,876.8803764750992
2042,909.9919601277494,947.8639573488746,1038.5199890435397,907.8390065739227,851.6975027425486
2043,887.6056350582015,925.9638436190519,1021.7349578130979,884.8148712362374,829.6004383050548
2044,867.1918947294199,905.5448140718272,1005.5695267637567,863.494012619006,810.1627991299019
2045,848.5526680011897,886.4906168737831,989.997284033426,843.7237564313559,793.0164957298837
2046,830.1098528304915,866.6942193153959,974.0447660070193,823.6986618090591,776.4240136304866
2047,813.2173884708727,848.2287740936886,958.6241220831477,805.0790872806151,761.7017167425548
2048,797.7147449760273,830.9823541671472,943.7138350598616,787.7328304127052,748.5787604588766
2049,783.4558054736349,814.8518626579455,929.2912238755448,771.540074458185,736.8234910071999
2050,770.3119393862039,799.7428942738941,915.3345746384177,756.3922320387616,726.2377791656121
2051,757.1366263654122,784.0840325414189,901.0955227542004,741.0681342587964,715.4961549817027
2052,744.8773195811979,769.3718344124115,887.2665304620494,726.6285893673012,705.6824831350953
2053,733.4384259843868,755.5232917954684,873.8291112225293,712.9902202504039,696.6577224476072
2054,722.7328111733541,742.4604575379733,860.7675265402701,700.075343730356,688.3023145058718
2055,712.6830337745514,730.1145488218224,848.0666938759566,687.8158657885938,680.5146562767701
2056,702.1369400785121,717.0768588371169,835.1610723820917,675.0066416464139,672.2356305202529
2057,692.2037586602131,704.7707722437626,822.6033674871422,662.8271522453722,664.4623125698807
2058,682.8124825158101,693.1234893041092,810.3773783981155,651.2130240860458,657.1098020304755
2059,673.9022654361295,682.0693308360537,798.4701328562467,640.1044057453505,650.1074327587482
2060,665.4171219122702,671.550712947217,786.86668251106,629.4497442319629,643.3963893631951
