,cum_CO2_2050_POP,cum_CO2_2050_GDP,cum_CO2_2050_combined,weighted_distance_2050_POP,weighted_distance_2050_GDP,weighted_distance_2050_combined,stored_CO2_2050_POP,stored_CO2_2050_GDP,stored_CO2_2050_combined
0,0.0,0.0,0.0,,,,0.0,0.0,0.0
1,33.3,8.2,25.3,336.573933933934,561.58,378.63849802371533,33.3,8.2,25.3
2,0.0,0.0,0.0,,,,0.0,0.0,0.0
3,0.0,0.0,0.0,,,,0.0,0.0,0.0
4,0.0,0.0,0.0,,,,0.0,0.0,0.0
5,0.0,0.0,0.0,,,,0.0,0.0,0.0
6,0.0,0.0,0.0,,,,0.0,0.0,0.0
7,45.2,31.0,32.5,259.16765486725666,264.4447096774194,375.56913846153844,45.2,31.0,32.5
8,0.0,0.0,0.0,,,,0.0,0.0,0.0
9,0.0,0.0,0.0,,,,0.0,0.0,0.0
10,0.0,0.0,0.0,,,,0.0,0.0,0.0
11,0.0,0.0,0.0,,,,0.0,0.0,0.0
12,0.0,0.0,0.0,,,,0.0,0.0,0.0
13,0.0,0.0,0.0,,,,0.0,0.0,0.0
14,0.0,0.0,0.0,,,,0.0,0.0,0.0
15,0.0,0.0,0.0,,,,0.0,0.0,0.0
16,39.3,35.3,39.3,44.17567430025445,42.95592067988668,54.94,39.3,35.3,39.3
17,0.0,0.0,0.0,,,,0.0,0.0,0.0
18,0.0,0.0,0.0,,,,0.0,0.0,0.0
19,0.0,0.0,0.0,,,,0.0,0.0,0.0
20,0.0,0.0,0.0,,,,0.0,0.0,0.0
21,0.0,0.0,0.0,,,,0.0,0.0,0.0
22,13.0,25.2,26.3,241.06800000000004,414.4975396825397,201.57,13.0,25.2,26.3
23,0.0,0.0,0.0,,,,0.0,0.0,0.0
24,0.0,0.0,0.0,,,,0.0,0.0,0.0
25,19.6,17.4,18.6,7.2055102040812224,150.94,0.0,19.6,17.4,18.6
26,120.0,127.2,100.7,126.33551666666669,208.48825471698115,108.86828202581934,120.0,127.20000000000002,100.7
27,0.0,0.0,0.0,,,,0.0,0.0,0.0
28,0.0,0.0,0.0,,,,0.0,0.0,0.0
29,0.0,0.0,0.0,,,,0.0,0.0,0.0
30,32.6,32.6,32.8,378.2374233128834,425.1712883435583,318.4811585365854,32.6,32.6,32.8
